appl_dt;id;reason;regstd_cred_cey_amt;cale_cred_ccy_amt;dpd;overdue;ki_payments;cc_payments;fssp_number;card_number
06.02.2025;71;Кредитная история;150000;0;0;1;40585;0;0;0
24.01.2025;72;Лимит;300000;0;39475;0;55139;0;0;0
18.01.2025;73;Благонадежность;150000;0;0;0;0;0;4128;0
26.01.2025;74;Кредитная история;50000;0;15010;1;185;0;0;0
02.02.2025;75;Кредитная история;300000;0;60605;1;37126;0;0;0
03.01.2025;76;Модель;800000;0;0;0;4500;0;0;0
23.01.2025;77;Кредитная история;10000;0;0;1;0;0;0;0
12.01.2025;78;Лимит;100000;0;22917;0;131539;0;0;0
28.01.2025;79;Кредитная история;50000;0;169022;1;1897;0;0;0
07.02.2025;80;Благонадежность;300000;0;154548;0;21750;0;4803;0
14.01.2025;81;Модель;500000;0;0;0;46645;0;0;0
26.01.2025;82;Кредитная история;300000;0;0;1;37323;0;0;0
10.01.2025;83;Кредитная история;20000;0;0;1;98560;0;0;0
12.12.2024;84;Модель;15000;0;0;0;15882;0;0;0
07.12.2024;85;Модель;150000;0;0;0;4250;0;0;0
15.12.2024;86;Модель;250000;0;0;0;24871;2487;0;0
19.12.2024;87;Кредитная история;300000;0;0;1;0;0;0;0
10.12.2024;88;Кредитная история;30000;0;0;1;0;0;0;0
11.02.2025;89;Кредитная история;350000;0;21373;1;7500;0;0;0
11.12.2024;90;Лимит;800000;0;0;0;13980;0;0;0
09.01.2025;91;Лимит;300000;0;0;0;8117;812;0;0
04.01.2025;92;Лимит;500000;0;12067;0;2424;0;0;0
29.01.2025;93;Лимит;625000;0;34735;0;14158;0;0;0
07.01.2025;94;Лимит;700000;0;15031;0;38331;0;0;0
28.01.2025;95;Кредитная история;100000;0;0;1;97;0;0;0
11.12.2024;96;Кредитная история;30000;0;18455;1;11390;0;0;0
23.12.2024;97;Лимит;50000;0;0;0;52836;5284;0;0
03.02.2025;98;Кредитная история;200000;0;46028;1;48;0;0;0
15.12.2024;99;Кредитная история;10000;0;0;1;802;80;0;0
06.01.2025;100;Кредитная история;300000;0;14104;1;0;0;0;0
21.01.2025;101;Лимит;300000;0;0;0;14657;0;0;0
05.01.2025;102;Кредитная история;20000;0;0;1;320;0;0;0
31.12.2024;103;Лимит;50000;0;0;0;54655;0;0;0
04.01.2025;104;Кредитная история;250000;0;86973;1;0;0;0;0
11.02.2025;105;Кредитная история;500000;0;0;1;52589;0;0;0
19.12.2024;106;Модель;500000;0;0;0;0;0;0;0
09.02.2025;107;Лимит;3000000;0;34294;0;61800;0;0;0
13.01.2025;108;Модель;300000;0;189201;0;134584;0;0;0
10.02.2025;109;Благонадежность;150000;0;37243;0;5300;0;6544;0
01.02.2025;110;Кредитная история;100000;0;0;1;6000;0;0;0
15.01.2025;111;Кредитная история;500000;0;0;1;0;0;0;0
13.12.2024;112;Лимит;300000;0;49885;0;99507;0;0;0
09.01.2025;113;Лимит;30000;0;11186;0;10304;0;0;0
30.01.2025;114;Модель;500000;0;0;0;31097;3110;0;0
09.12.2024;115;Кредитная история;10000;0;4185;1;0;0;0;0
15.12.2024;116;Одобрено;67000;67000;14236;0;17968;0;0;0
20.01.2025;117;Лимит;1000000;0;38662;0;11000;0;0;0
13.01.2025;118;Кредитная история;100000;0;29094;1;0;0;0;0
16.01.2025;119;Кредитная история;300000;0;0;1;4644;0;0;0
05.02.2025;120;Модель;300000;0;0;0;17024;0;0;0
19.12.2024;121;Кредитная история;150000;0;0;1;76362;0;0;0
09.02.2025;122;Кредитная история;300000;0;0;1;59999;0;0;0
16.01.2025;123;Кредитная история;300000;0;0;1;8;0;0;0
11.02.2025;124;Кредитная история;50000;0;0;1;8000;0;0;0
29.01.2025;125;Лимит;100000;0;0;0;65557;0;0;0
11.02.2025;126;Благонадежность;35000;0;0;0;9045;0;7374;0
27.01.2025;127;Модель;100000;0;0;0;4500;0;0;0
31.12.2024;128;Лимит;1500000;0;16674;0;13750;0;0;0
10.01.2025;129;Модель;300000;0;0;0;17794;0;0;0
10.12.2024;130;Кредитная история;200000;0;0;1;40546;0;0;0
09.01.2025;131;Модель;500000;0;0;0;44984;4498;0;0
12.12.2024;132;Одобрено;70000;70000;0;0;0;0;0;0
12.12.2024;133;Модель;300000;0;4194;0;9981;0;0;0
05.12.2024;134;Кредитная история;30000;0;0;1;2676;268;0;0
21.12.2024;135;Кредитная история;300000;0;30831;1;30336;0;0;0
13.12.2024;136;Модель;500000;0;18455;0;0;0;0;0
22.01.2025;137;Лимит;500000;0;0;0;54452;0;0;0
11.12.2024;138;Кредитная история;10000;0;32033;1;8665;0;0;0
26.01.2025;139;Модель;3500000;0;0;0;0;0;0;0
23.12.2024;140;Кредитная история;30000;0;0;1;72316;0;0;0
02.02.2025;141;Модель;1300000;0;155010;0;6400;0;0;0
14.01.2025;142;Одобрено;75000;75000;0;0;9750;0;0;0
14.12.2024;143;Лимит;450000;0;99908;0;81777;0;0;0
11.02.2025;144;Кредитная история;300000;0;4365;1;3507;0;0;0
02.12.2024;145;Модель;300000;0;0;0;5224;0;0;0
04.12.2024;146;Модель;6000000;0;0;0;25100;0;0;0
14.02.2025;147;Модель;30000;0;51005;0;43147;0;0;0
23.01.2025;148;Кредитная история;10000;0;0;1;0;0;0;0
05.12.2024;149;Лимит;300000;0;0;0;55337;0;0;0
22.12.2024;150;Лимит;300000;0;39004;0;20296;0;0;0
05.12.2024;151;Модель;300000;0;72991;0;13250;0;0;0
12.12.2024;152;Модель;50000;0;0;0;2900;0;0;0
18.01.2025;153;Кредитная история;150000;0;50172;1;17454;0;0;0
07.01.2025;154;Модель;50000;0;8;0;30283;0;0;0
25.12.2024;155;Кредитная история;300000;0;0;1;28447;0;0;0
17.12.2024;156;Кредитная история;300000;0;7194;1;54373;0;0;0
17.12.2024;157;Кредитная история;60000;0;50099;1;30342;0;0;0
12.12.2024;158;Кредитная история;300000;0;61968;1;17410;1741;0;0
06.12.2024;159;Лимит;200000;0;13984;0;10750;0;0;0
10.02.2025;160;Кредитная история;10000;0;92912;1;37423;0;0;0
08.01.2025;161;Кредитная история;100000;0;50565;1;35376;3538;0;0
02.02.2025;162;Кредитная история;300000;0;757;1;65781;0;0;0
06.12.2024;163;Модель;300000;0;0;0;17299;0;0;0
14.01.2025;164;Модель;500000;0;0;0;11250;1125;0;0
02.12.2024;165;Лимит;300000;0;79106;0;31894;0;0;0
29.01.2025;166;Благонадежность;300000;0;0;0;10750;0;9110;0
06.12.2024;167;Модель;500000;0;60400;0;5000;0;0;0
10.12.2024;168;Кредитная история;100000;0;0;1;688;0;0;0
31.01.2025;169;Кредитная история;150000;0;0;1;878;0;0;0
12.12.2024;170;Кредитная история;20000;0;12277;1;28471;0;0;0
14.12.2024;171;Кредитная история;15000;0;0;1;30882;0;0;0
14.12.2024;172;Кредитная история;35000;0;0;1;0;0;0;0
07.02.2025;173;Кредитная история;1000000;0;0;1;24273;0;0;0
31.12.2024;174;Модель;100000;0;0;0;43300;0;0;0
23.12.2024;175;Модель;20000;0;0;0;11815;0;0;0
02.02.2025;176;Кредитная история;300000;0;0;1;6500;0;0;0
18.12.2024;177;Благонадежность;200000;0;44603;0;0;0;9593;0
27.01.2025;178;Кредитная история;250000;0;22971;1;6000;0;0;0
05.02.2025;179;Модель;200000;0;0;0;0;0;0;0
14.01.2025;180;Кредитная история;150000;0;9450;1;8000;0;0;0
19.12.2024;181;Кредитная история;1000000;0;47748;1;10550;0;0;0
03.01.2025;182;Кредитная история;500000;0;62288;1;500;0;0;0
13.12.2024;183;Лимит;300000;0;61416;0;51583;0;0;0
26.12.2024;184;Кредитная история;370000;0;0;1;20720;0;0;0
16.01.2025;185;Лимит;30000;0;0;0;9850;0;0;0
03.01.2025;186;Лимит;50000;0;0;0;22773;2277;0;0
01.02.2025;187;Кредитная история;480000;0;0;1;19745;0;0;0
31.12.2024;188;Кредитная история;130000;0;0;1;0;0;0;0
02.12.2024;189;Кредитная история;300000;0;0;1;33036;0;0;0
07.01.2025;190;Модель;300000;0;87937;0;73042;0;0;0
25.01.2025;191;Модель;300000;0;214917;0;78317;0;0;0
11.02.2025;192;Модель;150000;0;15360;0;2718;0;0;0
29.12.2024;193;Модель;388000;0;0;0;12950;0;0;0
08.02.2025;194;Благонадежность;300000;0;0;0;6200;0;10463;0
15.01.2025;195;Модель;400000;0;0;0;12750;1275;0;0
30.01.2025;196;Кредитная история;50000;0;0;1;37892;0;0;0
31.01.2025;197;Одобрено;158000;158000;18181;0;2250;0;0;0
30.12.2024;198;Благонадежность;130000;0;0;0;500;0;10587;0
18.12.2024;199;Лимит;50000;0;0;0;42107;0;0;0
14.01.2025;200;Кредитная история;300000;0;37171;1;27055;0;0;0
08.12.2024;201;Лимит;250000;0;0;0;81351;8135;0;0
30.01.2025;202;Модель;85000;0;17001;0;4000;0;0;0
24.12.2024;203;Лимит;280000;0;0;0;49174;4917;0;0
04.12.2024;204;Модель;950000;0;0;0;0;0;0;0
16.01.2025;205;Кредитная история;80000;0;54203;1;6458;0;0;0
05.01.2025;206;Одобрено;500000;500000;117257;0;0;0;0;0
10.02.2025;207;Кредитная история;300000;0;12990;1;1750;0;0;0
03.12.2024;208;Лимит;100000;0;24161;0;29195;0;0;0
04.12.2024;209;Лимит;300000;0;18017;0;156018;0;0;0
30.12.2024;210;Лимит;120000;0;46346;0;57371;5737;0;0
07.12.2024;211;Кредитная история;300000;0;0;1;9000;0;0;0
21.01.2025;212;Модель;500000;0;0;0;16114;0;0;0
25.12.2024;213;Кредитная история;300000;0;0;1;69061;0;0;0
18.12.2024;214;Кредитная история;2000000;0;0;1;50980;0;0;0
08.02.2025;215;Кредитная история;10000;0;0;1;64;0;0;0
